campeonato,time,pontos
2014,Cruzeiro,80
2014,São Paulo,70
2014,Internacional,69
2014,Corinthians,69
2015,Corinthians,81
2015,Atlético-MG,69
2015,Grêmio,68
2015,São Paulo,62
2016,Palmeiras,80
2016,Flamengo,71
2016,Santos,71
2016,Atlético-MG,62
2017,Corinthians,72
2017,Santos,63
2017,Palmeiras,63
2017,Grêmio,62
2018,Palmeiras,80
2018,Flamengo,72
2018,Internacional,69
2018,Grêmio,66
2019,Flamengo,90
2019,Santos,74
2019,Palmeiras,74
2019,Grêmio,65
2020,Flamengo,71
2020,Internacional,70
2020,Atlético-MG,68
2020,São Paulo,66
2021,Atlético-MG,84
2021,Flamengo,71
2021,Palmeiras,66
2021,Fortaleza,58
2022,Palmeiras,81
2022,Internacional,73
2022,Fluminense,70
2022,Corinthians,65
2023,Palmeiras,70
2023,Grêmio,68
2023,Atlético-MG,66
2023,Flamengo,66
