campeonato,partida,data,estadio,gols
2023,1,2023-04-15,Allianz Parque,3
2023,2,2023-04-15,Estádio Raimundo Sampaio,3
2023,3,2023-04-15,Estádio Nilton Santos,3
2023,4,2023-04-15,Nabizão,3
2023,5,2023-04-15,Ligga Arena,2
2023,6,2023-04-15,Arena Castelão,2
2023,7,2023-04-15,Mineirão,3
2023,8,2023-04-16,Neo Química Arena,3
2023,9,2023-04-16,Maracanã,3
2023,10,2023-04-16,Alfredo Jaconi,1
2023,11,2023-04-22,Maracanã,2
2023,12,2023-04-22,Morumbi,3
2023,13,2023-04-22,Arena Pantanal,2
2023,14,2023-04-22,Estádio Raimundo Sampaio,1
2023,15,2023-04-23,Estádio Beira-Rio,3
2023,16,2023-04-23,Estádio Urbano Caldeira,0
2023,17,2023-04-23,Maracanã,4
2023,18,2023-04-23,Couto Pereira,3
2023,19,2023-04-23,Estádio Hailé Pinheiro - Serrinha,4
2023,20,2023-04-24,Itaipava Arena Fonte Nova,3
2023,21,2023-04-29,Arena Castelão,6
2023,22,2023-04-29,Couto Pereira,2
2023,23,2023-04-29,Allianz Parque,3
2023,24,2023-04-29,Estádio Urbano Caldeira,5
2023,25,2023-04-29,Nabizão,3
2023,26,2023-04-29,Estádio Raimundo Sampaio,3
2023,27,2023-04-30,Maracanã,5
2023,28,2023-04-30,Arena Pantanal,3
2023,29,2023-04-30,Estádio Beira-Rio,1
2023,30,2023-05-01,Estádio São Januário,1
2023,31,2023-05-06,Estádio Raimundo Sampaio,3
2023,32,2023-05-06,Maracanã,2
2023,33,2023-05-07,Estádio Raimundo Sampaio,3
2023,34,2023-05-07,Itaipava Arena Fonte Nova,4
2023,35,2023-05-07,Morumbi,2
2023,36,2023-05-07,Ligga Arena,3
2023,37,2023-05-07,Arena do Grêmio,6
2023,38,2023-05-07,Estádio Nilton Santos,2
2023,39,2023-05-07,Estádio Hailé Pinheiro - Serrinha,5
2023,40,2023-05-08,Neo Química Arena,2
2023,41,2023-05-10,Estádio Beira-Rio,2
2023,42,2023-05-10,Estádio Urbano Caldeira,3
2023,43,2023-05-10,Nabizão,4
2023,44,2023-05-10,Arena Pantanal,4
2023,45,2023-05-10,Maracanã,2
2023,46,2023-05-10,Mineirão,2
2023,47,2023-05-10,Allianz Parque,5
2023,48,2023-05-11,Couto Pereira,2
2023,49,2023-05-11,Estádio Nilton Santos,3
2023,50,2023-05-11,Arena Castelão,0
2023,51,2023-05-13,Itaipava Arena Fonte Nova,5
2023,52,2023-05-13,Maracanã,2
2023,53,2023-05-13,Allianz Parque,2
2023,54,2023-05-13,Mineirão,2
2023,55,2023-05-14,Arena do Grêmio,0
2023,56,2023-05-14,Estádio São Januário,1
2023,57,2023-05-14,Neo Química Arena,2
2023,58,2023-05-14,Ligga Arena,5
2023,59,2023-05-14,Estádio Hailé Pinheiro - Serrinha,3
2023,60,2023-05-14,Estádio Raimundo Sampaio,4
2023,61,2023-05-20,Itaipava Arena Fonte Nova,2
2023,62,2023-05-20,Nabizão,2
2023,63,2023-05-20,Morumbi,6
2023,64,2023-05-20,Couto Pereira,3
2023,65,2023-05-20,Estádio Raimundo Sampaio,3
2023,66,2023-05-20,Estádio Nilton Santos,1
2023,67,2023-05-20,Estádio Urbano Caldeira,0
2023,68,2023-05-21,Maracanã,1
2023,69,2023-05-21,Arena do Grêmio,4
2023,70,2023-05-22,Estádio Joaquim Henrique Nogueira-Arena do jacaré,1
2023,71,2023-05-27,Ligga Arena,3
2023,72,2023-05-27,Arena Castelão,2
2023,73,2023-05-27,Maracanã,2
2023,74,2023-05-27,Arena Pantanal,2
2023,75,2023-05-27,Morumbi,3
2023,76,2023-05-28,Neo Química Arena,2
2023,77,2023-05-28,Estádio Beira-Rio,2
2023,78,2023-05-28,Mineirão,2
2023,79,2023-05-28,Nabizão,2
2023,80,2023-05-28,Estádio Nilton Santos,2
2023,81,2023-06-03,Arena Castelão,0
2023,82,2023-06-03,Ligga Arena,1
2023,83,2023-06-03,Estádio Municipal Parque do Sabiá,1
2023,84,2023-06-03,Estádio Raimundo Sampaio,2
2023,85,2023-06-03,Estádio Urbano Caldeira,2
2023,86,2023-06-04,Maracanã,3
2023,87,2023-06-04,Arena do Grêmio,3
2023,88,2023-06-04,Estádio Hailé Pinheiro - Serrinha,1
2023,89,2023-06-04,Allianz Parque,4
2023,90,2023-06-05,Maracanã,5
2023,91,2023-06-10,Couto Pereira,0
2023,92,2023-06-10,Itaipava Arena Fonte Nova,4
2023,93,2023-06-10,Neo Química Arena,2
2023,94,2023-06-10,Mineirão,2
2023,95,2023-06-10,Estádio Nilton Santos,2
2023,96,2023-06-11,Mineirão,4
2023,97,2023-06-11,Morumbi,2
2023,98,2023-06-11,Estádio Beira-Rio,3
2023,99,2023-06-11,Maracanã,3
2023,100,2023-06-11,Estádio Hailé Pinheiro - Serrinha,4
2023,101,2023-06-21,Mineirão,1
2023,102,2023-06-21,Morumbi,3
2023,103,2023-06-21,Estádio Urbano Caldeira,2
2023,104,2023-06-21,Estádio Municipal General Raulino de Oliveira,2
2023,105,2023-06-21,Itaipava Arena Fonte Nova,1
2023,106,2023-06-22,Arena do Grêmio,4
2023,107,2023-06-22,Couto Pereira,1
2023,108,2023-06-22,Arena Pantanal,1
